D_R,uf,nquest,versao,pf1,pf2a,pf2b,pf2c,pf2d,idade1,idade,sexo,p41aa,p41ba,p41ab,p41bb,p41ac,p41bc,p41ad,p41bd,p41ae,p41be,p41af,p41bf,p41ag,p41bg,p41ah,p41bh,p41ai,p41bi,p41aj,p41bj,p41ak,p41bk,p41al,p41bl,p41am,p41bm,p41an,p41bn,p41ao,p41bo,p41ap,p41bp,p42a,p42b,p42c,p42d,p42e,p42f,p42g,p42h,p42i,p42j,p42k,p42l,p42m,p42n,p42o,p42p,p43a,p43b,p43c,p43d,p43f,p43g,p43h,p43i,p43j,p43k,p43l,p43m,p43n,p43o,p43p,p44,p45a,p45b,p45c,p45d,p45e,p45f,p45g,p45h,p45i,p45j,p45k,p45l,p45m,p45n,p45o,p45p,p45q,cor,pea,carro,empreg,maqlav,dvd,banhe,gelad,freezer,comput,lavlou,microon,motocic,secadora,agua,rua,escolac,escola,renda,rendaf,cidade,ponto,pesq,ciente,errol,regiao_ori,metrop_ori,meso,porte_ori,peso,RCLASSE2,INV1p45a_ok,INV1p45b_ok,INV1p45c_ok,INV1p45d,INV1p45e,INV1p45f,INV1p45g,INV1p45h,INV1p45i,INV1p45j_ok,INV1p45k_ok,INV1p45l,INV1p45m,INV1p45n,INV1p45o_ok,INV1p45p,INV1p45q,IndiceADVD,IndiceADVND,Indice_medoviolencia,GrupoMedoViolencia,INVp43a,INVp43b,INVp43c,INVp43d,INVp43f,INVp43g,INVp43h,INVp43i,INVp43j,INVp43k,INVp43l,INVp43m,INVp43n,INVp43o,INVp43p,Indice_violencia,Comput_EscalaF_6itens,Comput_EscalaF_6itens_ponderado,Comput_EscalaF_6itens_ponderado_7,Indice_EscalaF17itens_1a7
,PR,44259951,17,1,2,2,2,2,65,5,2,1,1,1,1,96,,2,,1,1,1,1,1,1,1,1,1,1,1,1,2,,2,,2,,2,,1,1,2,,8,5,996,2,6,5,8,7,5,6,0,0,0,0,6,1,2,2,996,2,2,2,2,2,2,2,2,2,2,2,2,99,2,3,2,3,3,3,1,3,3,5,3,1,3,2,2,3,3,3,11,96,96,96,96,1,1,96,96,96,96,96,96,1,2,2,2,99,1,1459,2,9775,1,0,2,3,5,1,"2,00710040",6,"5,00","4,00","5,00","4,00","4,00","4,00","6,00","4,00","4,00","2,00","4,00","6,00","4,00","5,00","5,00","4,00","4,00","3,00","4,00","0,56",,"0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4,17","0,69","4,86","4,67"
,SP,44260251,17,1,2,2,2,2,30,2,2,2,,2,,96,,1,2,1,1,2,,2,,2,,2,,2,,1,1,1,2,2,,1,1,1,1,2,,0,2,996,0,5,0,0,2,0,2,5,4,2,8,4,10,2,2,996,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,2,5,2,2,5,2,5,2,2,4,6,5,5,2,5,1,1,96,96,1,1,2,2,1,96,96,1,96,1,1,1,2,2,1,1,163,7,3261,1,0,1,3,11,2,"0,72852066",4,"5,00","3,00","5,00","2,00","5,00","5,00","2,00","5,00","2,00","5,00","5,00","3,00","1,00","2,00","2,00","5,00","2,00","3,00","4,00","0,38","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4,17","0,69","4,86","4,67"
,GO,44243695,17,1,2,2,2,2,40,3,1,1,1,1,2,1,1,2,,1,1,2,,2,,1,2,1,1,2,,1,1,1,1,1,2,1,1,2,,2,,5,7,6,4,1,3,1,4,1,5,2,2,5,0,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,3,5,3,1,2,2,2,1,5,1,3,1,4,3,2,2,1,2,96,1,1,1,1,1,1,96,1,1,96,2,1,2,2,1,4,2700,103,8779,1,0,4,1,3,3,"1,44776680",4,"5,00","5,00","4,00","2,00","4,00","6,00","5,00","5,00","5,00","6,00","2,00","6,00","4,00","6,00","3,00","4,00","5,00","2,00","5,00","0,63",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","0,07","4,17","0,69","4,86","5,83"
,MG,44251869,17,1,2,2,2,2,45,4,1,1,1,1,1,1,1,2,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,,1,1,1,1,2,,1,2,5,5,5,3,5,5,6,5,4,6,5,5,5,4,0,5,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,5,-2,-2,-2,1,2,3,1,2,2,-2,2,5,2,2,3,1,96,96,96,96,1,1,96,96,96,96,96,96,1,1,2,2,1,1,"1099,6996",3,2668,1,0,1,3,12,1,"1,08972715",6,"5,00","5,00","2,00",,,,"6,00","5,00","4,00","6,00","5,00","5,00",,"5,00","2,00","5,00","5,00","2,00","5,00","0,81",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,07","4,17","0,69","4,86","5,83"
,MG,44264134,17,1,2,2,2,2,53,4,1,1,2,2,,2,,2,,2,,2,,2,,2,,1,2,2,,2,,1,2,2,,2,,1,1,1,2,5,4,5,5,5,0,5,0,5,6,0,3,5,0,5,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,3,3,3,3,2,2,3,2,3,3,3,5,2,3,2,3,3,4,1,96,1,1,2,1,1,1,96,1,96,96,1,1,2,2,2,2,717,20,9989,1,0,1,2,7,2,"1,13005845",3,"5,00","4,00","4,00","4,00","4,00","5,00","5,00","4,00","5,00","4,00","4,00","4,00","2,00","5,00","4,00","5,00","4,00","3,00","4,00","0,31","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,07","4,17","0,69","4,86","4,67"
,AL,44298478,17,1,2,2,2,2,42,3,1,1,1,1,1,96,,1,2,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,1,1,2,,2,3,996,1,3,0,1,0,1,2,2,4,4,0,0,0,2,2,996,2,2,2,2,2,2,2,2,1,2,2,1,1,2,5,2,5,5,2,3,2,4,2,4,2,5,5,2,2,5,3,10,96,96,96,1,1,1,96,96,96,96,96,96,1,1,3,3,97,97,5300,60,9431,1,0,3,1,3,3,"1,23574610",6,"5,00","2,00","5,00","2,00","2,00","5,00","4,00","5,00","3,00","5,00","3,00","5,00","2,00","2,00","5,00","5,00","2,00","2,50","4,50","0,38","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","0,00","1,00","0,14","4,17","0,69","4,86","5,25"
,MG,44307476,17,1,2,2,2,2,17,1,2,1,2,1,2,96,,2,,1,1,1,2,2,,1,1,1,1,2,,2,,2,,1,1,2,,2,,2,,0,0,996,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,996,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,3,2,3,2,1,1,2,2,2,2,5,2,5,2,5,1,13,1,96,1,1,1,1,2,1,96,96,1,96,1,1,3,4,1,1,"1099,6857",4,9793,1,0,1,3,2,1,"1,11229767",4,"5,00","4,00","4,00","5,00","4,00","5,00","6,00","6,00","5,00","5,00","5,00","5,00","2,00","5,00","2,00","5,00","2,00","2,00","5,00","0,44","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4,17","0,69","4,86","5,83"
,GO,44265841,17,1,2,2,2,2,31,2,1,1,1,1,1,2,,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,1,1,2,7,5,4,6,9,5,5,4,4,4,8,6,5,7,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,2,3,3,-2,4,4,2,3,3,2,3,2,3,3,3,3,1,96,96,1,96,1,1,1,96,96,96,1,96,1,1,4,4,1,1,2715,2,31,1,0,4,2,3,2,"0,72292042",5,"5,00","3,00","5,00","4,00","4,00",,"3,00","3,00","5,00","4,00","4,00","5,00","4,00","5,00","4,00","4,00","4,00","3,00","4,00","0,94","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4,17","0,69","4,86","4,67"
,BA,44283788,17,1,2,2,2,2,16,1,1,1,2,1,2,1,2,2,,1,2,1,2,2,,2,,1,1,2,,2,,2,,1,2,1,1,1,2,2,,3,5,2,3,1,1,1,0,6,1,1,1,5,3,3,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,2,2,4,2,1,2,3,4,3,2,5,5,3,2,3,1,13,1,96,1,4,3,1,1,3,96,1,1,96,1,1,7,4,1,5,1541,37,9216,1,0,3,3,6,2,"0,74938501",1,"5,00","4,00","5,00","5,00","3,00","5,00","6,00","5,00","4,00","3,00","4,00","5,00","2,00","2,00","4,00","5,00","4,00","2,50","4,50","0,56",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4,17","0,69","4,86","5,25"
,CE,44293169,17,1,2,2,2,2,20,1,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,,1,2,1,2,1,2,1,1,1,1,1,2,2,,0,5,5,5,0,0,0,0,5,5,0,5,5,5,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,3,3,3,6,1,2,1,3,3,3,2,6,3,3,3,3,3,13,96,96,96,1,1,1,96,96,96,96,1,96,2,1,2,4,1,1,2262,4,8672,1,0,3,3,2,1,"0,74938501",6,"5,00","4,00","4,00","4,00","1,00","6,00","5,00","6,00","4,00","4,00","4,00","5,00","1,00","4,00","4,00","4,00","4,00","3,00","4,00","0,88",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,07","4,17","0,69","4,86","4,67"
